"Usuários";"Ativos";"Premium";"Familiares";"Receita Premium";"Receita Familiar";"Receita Total";"Custo Fixo";"Custo IA";"Custo Total";"Lucro";"Margem"
"100";"=A2*20%";"=A2*20%";"=A2*5%";"=C2*19,90";"=D2*39,90";"=E2+F2";"=120+50+180+30+40+30";"=B2*2*30*(1000+500)/1000000";"=H2+I2";"=G2-J2";"=SE(G2=0;0;K2/G2)"
"500";"=A3*20%";"=A3*20%";"=A3*5%";"=C3*19,90";"=D3*39,90";"=E3+F3";"=120+50+180+30+40+30";"=B3*2*30*(1000+500)/1000000";"=H3+I3";"=G3-J3";"=SE(G3=0;0;K3/G3)"
"1000";"=A4*20%";"=A4*20%";"=A4*5%";"=C4*19,90";"=D4*39,90";"=E4+F4";"=120+50+180+30+40+30";"=B4*2*30*(1000+500)/1000000";"=H4+I4";"=G4-J4";"=SE(G4=0;0;K4/G4)"
"2000";"=A5*20%";"=A5*20%";"=A5*5%";"=C5*19,90";"=D5*39,90";"=E5+F5";"=120+50+180+30+40+30";"=B5*2*30*(1000+500)/1000000";"=H5+I5";"=G5-J5";"=SE(G5=0;0;K5/G5)"
"10000";"=A6*20%";"=A6*20%";"=A6*5%";"=C6*19,90";"=D6*39,90";"=E6+F6";"=120+50+180+30+40+30";"=B6*2*30*(1000+500)/1000000";"=H6+I6";"=G6-J6";"=SE(G6=0;0;K6/G6)"
"50000";"=A7*20%";"=A7*20%";"=A7*5%";"=C7*19,90";"=D7*39,90";"=E7+F7";"=120+50+180+30+40+30";"=B7*2*30*(1000+500)/1000000";"=H7+I7";"=G7-J7";"=SE(G7=0;0;K7/G7)"
"100000";"=A8*20%";"=A8*20%";"=A8*5%";"=C8*19,90";"=D8*20%";"=E8+F8";"=G8+H8";"=B8*2*30*(1000+500)/1000000";"=H8+I8";"=G8-J8";"=SE(G8=0;0;K8/G8)"
